ch1 ch2 ch3 ch4 ch5 ch6 ch7 ch8
23938.5 3133.1 36483.2 38593.0 12462.9 3668.5 31056.5 52472.1   
24000.8 3205.2 36542.6 39344.4 12529.6 3531.3 31123.7 53806.1   
23987.6 3164.1 36527.5 39563.1 12504.2 3476.0 31097.8 54609.4   
23910.9 3025.4 36453.0 38879.7 12413.0 3650.1 31010.6 53640.9   
23884.2 3017.5 36434.1 38293.6 12396.5 3781.9 30991.7 52327.6   
23937.1 3127.9 36484.6 38568.4 12458.9 3677.9 31051.3 52441.3   
23999.2 3203.8 36541.0 39316.3 12521.8 3541.6 31115.1 53749.7   
23990.8 3169.5 36531.5 39570.9 12501.8 3478.1 31097.2 54605.1   
23918.5 3026.7 36459.7 38906.5 12418.7 3648.8 31016.5 53694.6   
23884.5 3014.3 36433.5 38294.4 12396.0 3793.0 30993.6 52348.9   
23926.6 3132.0 36476.5 38546.6 12447.3 3690.6 31041.6 52406.2   
23987.9 3211.6 36533.2 39298.0 12508.6 3553.2 31101.6 53691.4   
23988.4 3180.6 36531.3 39583.9 12498.0 3481.6 31094.0 54598.9   
23920.7 3033.7 36464.6 38938.3 12419.5 3645.3 31018.1 53745.7   
23884.5 3011.0 36435.7 38299.2 12391.4 3797.8 30990.1 52375.9   
23926.9 3128.5 36479.7 38518.5 12443.2 3699.0 31042.7 52377.3   
23993.0 3204.6 36540.7 39264.8 12508.6 3561.0 31107.0 53636.3   
23993.8 3178.7 36539.1 39584.2 12497.8 3482.7 31096.7 54589.1   
23922.5 3035.6 36469.7 38970.4 12416.5 3639.1 31015.7 53801.3   
23880.2 3006.7 36436.0 38313.0 12383.3 3799.7 30980.1 52412.4   
23919.6 3123.4 36477.0 38505.0 12433.0 3706.8 31028.4 52357.1   
23987.9 3201.9 36541.3 39237.8 12503.7 3571.3 31098.9 53581.5   
23990.8 3184.1 36539.9 39592.3 12499.1 3486.5 31095.6 54584.3   
23923.9 3041.3 36470.2 39001.8 12419.7 3636.6 31020.0 53853.7   
23882.6 3005.6 36433.3 38323.0 12387.9 3805.1 30988.2 52444.0   
23922.8 3120.1 36474.6 38482.0 12442.1 3719.2 31039.2 52329.0   
23981.1 3206.2 36527.8 39214.0 12501.3 3587.8 31099.4 53521.3   
23984.6 3198.1 36529.1 39606.3 12495.1 3496.5 31094.8 54569.4   
23917.1 3059.1 36461.1 39044.7 12414.1 3636.1 31015.7 53903.6   
23875.3 3011.6 36424.6 38340.5 12377.3 3810.8 30978.4 52476.9   
23908.0 3129.0 36460.3 38468.8 12422.4 3729.5 31021.1 52302.8   
23973.3 3213.0 36519.9 39192.7 12491.5 3598.3 31088.9 53460.3   
23983.8 3206.8 36528.0 39612.8 12492.9 3501.4 31092.4 54551.9   
23916.1 3068.6 36461.9 39082.5 12410.0 3631.5 31013.0 53955.2   
23871.5 3015.6 36423.8 38362.9 12370.3 3811.3 30970.9 52515.5   
23906.9 3127.7 36461.6 38458.0 12420.8 3735.4 31018.1 52287.1   
23970.3 3214.9 36519.1 39165.9 12489.1 3605.6 31088.1 53411.1   
23984.1 3214.1 36531.0 39616.6 12496.1 3504.9 31096.4 54542.7   
23921.2 3075.3 36467.3 39109.8 12418.1 3630.4 31021.4 54007.6   
23875.3 3012.9 36426.0 38363.8 12374.9 3817.3 30977.4 52553.3   
23910.4 3122.0 36464.3 38424.0 12421.9 3748.4 31022.7 52263.6   
23973.6 3208.9 36522.4 39126.8 12489.1 3621.8 31087.5 53349.0   
23985.7 3215.4 36535.3 39611.2 12495.1 3515.9 31094.3 54519.8   
23923.1 3080.4 36474.3 39133.0 12418.4 3629.6 31020.3 54052.9   
23872.6 3012.9 36430.0 38375.1 12369.0 3820.2 30971.4 52592.2   
23906.6 3119.0 36467.6 38407.5 12416.2 3758.9 31016.5 52243.6   
23969.8 3204.6 36526.9 39099.0 12482.4 3631.0 31081.3 53289.9   
23983.0 3217.9 36537.5 39611.4 12488.6 3520.5 31087.5 54493.8   
23923.1 3088.0 36477.0 39167.3 12416.0 3626.4 31019.2 54098.3   
23872.1 3010.5 36432.7 38389.1 12367.3 3819.1 30971.2 52633.0   
