ch1 ch2 ch3 ch4 ch5 ch6 ch7 ch8
393.9 287.8 273.8 274.0 258.1 231.4 272.4 277.8   
426.6 287.5 273.2 273.2 258.1 231.4 271.9 276.5   
458.2 288.1 273.5 272.7 257.3 231.9 271.9 277.0   
448.5 287.8 273.8 273.0 258.9 232.2 272.4 277.0   
407.2 287.3 273.2 273.2 258.7 231.9 271.9 275.9   
394.2 287.5 273.8 274.0 258.9 231.9 272.4 277.3   
426.9 288.1 273.8 273.2 258.9 231.4 273.0 277.3   
459.0 288.1 273.8 273.2 258.4 232.2 272.7 276.8   
450.4 288.1 273.5 273.8 257.9 231.7 272.4 277.6   
408.2 287.8 273.8 274.0 257.9 231.1 271.9 277.0   
393.9 288.1 273.5 274.0 258.9 230.9 271.4 276.5   
427.1 287.8 273.2 273.8 259.2 231.9 272.4 276.2   
458.5 287.5 273.2 274.3 259.2 231.9 273.2 277.8   
449.5 288.6 273.0 274.0 258.4 231.4 272.7 277.8   
408.0 288.1 272.7 273.8 258.7 231.9 272.4 277.0   
393.9 288.1 272.7 273.2 258.9 232.2 271.4 277.3   
427.7 288.6 273.0 273.5 259.2 232.7 271.4 277.6   
459.5 288.9 273.5 273.2 259.2 232.2 272.2 277.3   
450.6 288.9 273.8 273.5 259.2 232.7 272.7 276.8   
409.3 288.9 273.8 273.2 258.7 232.7 272.4 276.8   
394.2 288.1 272.4 273.5 258.9 232.7 272.4 276.8   
427.4 288.4 273.2 273.2 258.4 232.7 271.6 277.6   
459.0 288.4 273.2 273.2 258.4 232.2 272.4 277.0   
450.4 288.4 273.5 273.2 258.7 231.7 272.4 277.3   
408.2 288.6 273.8 273.0 258.9 231.9 271.9 277.0   
394.2 288.6 272.7 272.4 258.4 231.9 272.4 277.3   
427.4 288.1 273.5 273.0 258.7 232.7 272.4 276.8   
457.9 288.1 273.2 273.8 260.3 232.7 271.9 276.5   
448.7 288.1 273.5 273.2 259.2 231.4 271.9 277.0   
407.7 288.1 273.8 273.8 259.2 231.4 272.7 277.3   
393.9 287.8 273.2 274.0 259.5 231.7 271.9 278.1   
426.6 288.4 273.2 274.0 259.2 231.9 272.2 278.1   
459.0 288.4 273.2 273.8 258.4 231.7 272.2 277.6   
449.3 289.4 273.8 273.8 258.9 231.9 272.4 277.6   
408.2 288.1 272.7 274.0 258.4 231.7 272.7 276.8   
393.7 287.8 271.9 273.2 258.7 232.2 272.7 276.5   
426.1 288.4 273.2 273.8 259.2 232.2 273.2 276.5   
458.2 288.6 273.2 273.8 258.9 232.2 272.7 276.8   
449.5 288.6 272.7 274.0 258.7 231.9 272.7 276.2   
407.4 288.4 273.8 273.2 258.9 231.9 272.4 276.5   
392.9 288.1 272.7 273.2 259.7 232.2 271.9 277.3   
425.5 287.5 272.4 273.2 259.5 232.5 271.9 277.8   
458.2 288.1 272.7 273.8 259.2 232.5 272.4 277.0   
449.5 288.1 272.7 274.0 258.9 232.7 272.2 277.3   
408.5 288.1 273.2 273.8 258.9 232.2 272.2 277.0   
394.7 288.1 273.5 274.0 258.1 231.7 271.9 277.0   
426.1 287.8 273.8 273.0 258.1 232.5 272.7 276.5   
457.6 288.4 273.5 273.8 258.4 232.2 272.7 276.8   
449.5 288.4 273.8 273.8 258.9 232.7 272.4 277.6   
407.4 287.5 274.0 273.5 259.2 232.7 272.2 277.6   
393.4 287.8 274.0 273.8 258.9 232.5 271.9 277.8   
427.7 287.8 273.8 273.5 258.7 232.2 272.2 277.8   
459.0 287.8 273.5 273.2 258.9 231.4 272.7 277.6   
449.5 287.5 273.0 273.2 258.9 231.9 272.4 277.3   
407.4 288.6 273.5 274.0 259.2 231.9 272.2 277.3   
394.7 288.6 273.5 273.5 259.2 232.2 272.4 277.3   
426.9 287.5 273.0 273.8 258.7 231.9 272.4 277.0   
458.2 287.0 273.2 273.2 258.4 231.9 273.2 277.3   
449.5 287.5 273.8 273.2 257.9 232.7 273.2 278.6   
408.5 288.6 273.8 273.8 258.1 231.9 272.2 278.1   
394.5 288.1 273.2 273.8 259.2 231.9 271.9 277.6   
426.3 287.5 273.0 273.0 258.9 232.2 272.7 275.9   
458.5 287.5 274.0 273.8 258.7 232.2 272.4 276.8   
450.1 287.5 273.8 274.6 257.6 232.5 271.9 276.5   
408.8 287.8 274.0 273.8 258.1 232.5 271.9 276.8   
394.7 287.5 273.8 273.0 258.4 231.9 273.2 277.3   
427.1 288.4 274.0 273.0 258.7 232.2 272.7 276.8   
459.0 288.1 273.2 273.5 258.4 231.9 271.4 277.3   
450.4 287.8 273.5 273.8 258.4 231.9 271.6 276.8   
408.8 288.4 273.2 274.0 257.9 231.4 272.7 275.4   
393.9 288.1 273.8 274.3 258.4 231.9 272.7 276.5   
427.1 286.7 273.2 274.3 258.9 232.2 272.4 276.5   
459.0 287.8 273.5 274.9 258.9 232.2 272.4 276.8   
450.4 288.6 273.2 274.0 257.6 232.2 272.7 277.3   
